         891256 function calls (890504 primitive calls) in 2.705 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 socket.py:409(_real_close)
        2    0.000    0.000    0.000    0.000 socket.py:413(close)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:543(SocketIO)
        1    0.000    0.000    0.000    0.000 socket.py:560(__init__)
    14004    0.028    0.000    1.641    0.000 socket.py:572(readinto)
    14005    0.011    0.000    0.011    0.000 socket.py:611(readable)
        1    0.000    0.000    0.000    0.000 socket.py:649(close)
        1    0.000    0.000    0.001    0.001 socket.py:688(create_connection)
        1    0.000    0.000    0.001    0.001 socket.py:728(getaddrinfo)
      351    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      352    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      353    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      354    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        2    0.000    0.000    0.000    0.000 socket.py:97(_intenum_converter)
       40    0.000    0.000    0.001    0.000 sre_compile.py:223(_compile_charset)
       40    0.000    0.000    0.001    0.000 sre_compile.py:250(_optimize_charset)
        5    0.000    0.000    0.000    0.000 sre_compile.py:376(_mk_bitmap)
        5    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
        2    0.000    0.000    0.000    0.000 sre_compile.py:381(_bytes_to_codes)
       54    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
        3    0.000    0.000    0.000    0.000 sre_compile.py:393(_generate_overlap_table)
    18/12    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
        9    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
       15    0.000    0.000    0.001    0.000 sre_compile.py:482(_compile_info)
       30    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
       15    0.000    0.000    0.004    0.000 sre_compile.py:542(_code)
       15    0.000    0.000    0.008    0.001 sre_compile.py:557(compile)
   120/15    0.001    0.000    0.003    0.000 sre_compile.py:64(_compile)
      124    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      196    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:161(__delitem__)
      513    0.000    0.000    0.000    0.000 sre_parse.py:163(__getitem__)
       54    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
      197    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
  205/100    0.000    0.000    0.000    0.000 sre_parse.py:173(getwidth)
       15    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
     1415    0.001    0.000    0.001    0.000 sre_parse.py:232(__next)
      275    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
     1245    0.000    0.000    0.001    0.000 sre_parse.py:253(get)
        8    0.000    0.000    0.000    0.000 sre_parse.py:266(getuntil)
      163    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
        8    0.000    0.000    0.000    0.000 sre_parse.py:294(_class_escape)
       46    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
    56/15    0.000    0.000    0.003    0.000 sre_parse.py:407(_parse_sub)
        2    0.000    0.000    0.000    0.000 sre_parse.py:452(<listcomp>)
    63/16    0.001    0.000    0.003    0.000 sre_parse.py:470(_parse)
       15    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       92    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       15    0.000    0.000    0.000    0.000 sre_parse.py:828(fix_flags)
       31    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       15    0.000    0.000    0.004    0.000 sre_parse.py:844(parse)
       31    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
      101    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      101    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      101    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      101    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      101    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      101    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:154(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ssl.py:221(CertificateError)
        1    0.000    0.000    0.000    0.000 ssl.py:355(_ASN1Object)
        4    0.000    0.000    0.000    0.000 ssl.py:360(__new__)
        1    0.000    0.000    0.000    0.000 ssl.py:376(Purpose)
        1    0.000    0.000    0.000    0.000 ssl.py:383(SSLContext)
        1    0.000    0.000    0.000    0.000 ssl.py:567(SSLObject)
        1    0.000    0.000    0.000    0.000 ssl.py:721(SSLSocket)
        1    0.000    0.000    0.006    0.006 ssl.py:91(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
        1    0.000    0.000    0.000    0.000 times.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       20    0.000    0.000    0.000    0.000 tokenize.py:112(group)
        1    0.000    0.000    0.000    0.000 tokenize.py:113(any)
        2    0.000    0.000    0.000    0.000 tokenize.py:114(maybe)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
       24    0.000    0.000    0.000    0.000 tokenize.py:148(<listcomp>)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:217(TokenError)
        1    0.000    0.000    0.000    0.000 tokenize.py:219(StopTokenizing)
        1    0.000    0.000    0.000    0.000 tokenize.py:222(Untokenizer)
        1    0.000    0.000    0.000    0.000 tokenize.py:99(TokenInfo)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:227(FrameSummary)
        1    0.000    0.000    0.000    0.000 traceback.py:316(StackSummary)
        1    0.000    0.000    0.000    0.000 traceback.py:438(TracebackException)
       35    0.000    0.000    0.000    0.000 types.py:135(__get__)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 util.py:11(int2byte)
        1    0.000    0.000    0.000    0.000 util.py:4(byte2int)
      178    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x9d12c0}
        3    0.000    0.000    0.000    0.000 {built-in method _hashlib.new}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
       38    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      258    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        8    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        4    0.003    0.001    0.006    0.001 {built-in method _imp.create_dynamic}
        8    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       31    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       43    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      258    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.001    0.001 {built-in method _socket.getaddrinfo}
       15    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       45    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
    14014    0.008    0.000    0.008    0.000 {built-in method _struct.pack}
     3999    0.004    0.000    0.004    0.000 {built-in method _struct.unpack_from}
    14008    0.009    0.000    0.009    0.000 {built-in method _struct.unpack}
      106    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      136    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      109    0.002    0.000    0.007    0.000 {built-in method builtins.__build_class__}
     12/5    0.000    0.000    0.029    0.006 {built-in method builtins.__import__}
       72    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       61    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      256    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       45    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
     44/1    0.002    0.000    2.705    2.705 {built-in method builtins.exec}
    14976    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      861    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
    29518    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
  243/236    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
85568/85503    0.013    0.000    0.013    0.000 {built-in method builtins.len}
       13    0.000    0.000    0.000    0.000 {built-in method builtins.max}
    14265    0.008    0.000    0.008    0.000 {built-in method builtins.min}
      107    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.round}
      182    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       96    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.000    0.000 {built-in method maketrans}
       38    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
      118    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       46    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        2    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      209    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        5    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       27    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        8    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        8    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
    14004    0.011    0.000    0.011    0.000 {method '_checkClosed' of '_io._IOBase' objects}
    14004    0.010    0.000    0.021    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      271    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1755    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       11    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        2    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
    14017    0.008    0.000    0.008    0.000 {method 'encode' of 'str' objects}
       46    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       82    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
    12061    0.015    0.000    0.015    0.000 {method 'format' of 'str' objects}
      225    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      203    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        4    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       35    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
     1410    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      124    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       40    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       61    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      809    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       11    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
    28008    0.073    0.000    1.714    0.000 {method 'read' of '_io.BufferedReader' objects}
       38    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
    14004    1.582    0.000    1.582    0.000 {method 'recv_into' of '_socket.socket' objects}
        8    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       10    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      420    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1334    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
    14004    0.182    0.000    0.182    0.000 {method 'sendall' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
        8    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
    42014    0.022    0.000    0.022    0.000 {method 'settimeout' of '_socket.socket' objects}
       12    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
      100    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
     1897    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        5    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
    14002    0.007    0.000    0.007    0.000 {method 'unpack_from' of 'Struct' objects}
        2    0.000    0.000    0.000    0.000 {method 'update' of '_hashlib.HASH' objects}
       15    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       36    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}


