         891256 function calls (890504 primitive calls) in 2.705 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        4    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(_ASN1Object)
        1    0.000    0.000    0.000    0.000 CLIENT.py:2(<module>)
        1    0.000    0.000    0.000    0.000 COMMAND.py:2(<module>)
        1    0.000    0.000    0.000    0.000 CR.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ER.py:2(<module>)
        1    0.000    0.000    0.000    0.000 FIELD_TYPE.py:3(<module>)
        1    0.000    0.000    0.000    0.000 FLAG.py:1(<module>)
        1    0.000    0.000    0.000    0.000 SERVER_STATUS.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:78(_Feature)
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:102(get_client_info)
        1    0.000    0.000    0.037    0.037 __init__.py:23(<module>)
        5    0.000    0.000    0.003    0.001 __init__.py:357(namedtuple)
       27    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
       27    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:48(DBAPISet)
        1    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
        1    0.000    0.000    0.004    0.004 __init__.py:88(Connect)
        1    0.000    0.000    0.002    0.002 _auth.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _auth.py:34(scramble_native_password)
        1    0.000    0.000    0.000    0.000 _auth.py:48(_my_crypt)
        1    0.000    0.000    0.000    0.000 _auth.py:65(RandStruct_323)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        1    0.000    0.000    0.000    0.000 _compat.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       62    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       19    0.000    0.000    0.001    0.000 abc.py:132(__new__)
       19    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
        4    0.000    0.000    0.000    0.000 abc.py:151(register)
      8/4    0.000    0.000    0.000    0.000 abc.py:196(__subclasscheck__)
       46    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    2.705    2.705 benchmark.py:1(<module>)
        1    0.003    0.003    0.416    0.416 benchmark.py:14(singleCommitInsertBenchmarck)
        1    0.005    0.005    0.675    0.675 benchmark.py:20(oneCommitPerInsertBenchmark)
        1    0.006    0.006    0.765    0.765 benchmark.py:26(updateBenchmark)
        1    0.006    0.006    0.807    0.807 benchmark.py:32(deleteBenchmark)
      143    0.000    0.000    0.000    0.000 charset.py:10(__init__)
        1    0.000    0.000    0.000    0.000 charset.py:18(encoding)
        1    0.000    0.000    0.000    0.000 charset.py:2(<module>)
        1    0.000    0.000    0.000    0.000 charset.py:30(Charsets)
        1    0.000    0.000    0.000    0.000 charset.py:31(__init__)
      143    0.000    0.000    0.000    0.000 charset.py:35(add)
        1    0.000    0.000    0.000    0.000 charset.py:40(by_id)
        2    0.000    0.000    0.000    0.000 charset.py:43(by_name)
        1    0.000    0.000    0.000    0.000 charset.py:9(Charset)
        1    0.000    0.000    0.000    0.000 codecs.py:93(__new__)
        1    0.000    0.000    0.000    0.000 configparser.py:1184(ConfigParser)
        1    0.000    0.000    0.000    0.000 configparser.py:1203(SafeConfigParser)
        1    0.000    0.000    0.000    0.000 configparser.py:1216(SectionProxy)
        1    0.000    0.000    0.000    0.000 configparser.py:1286(ConverterMapping)
        1    0.000    0.000    0.003    0.003 configparser.py:139(<module>)
        1    0.000    0.000    0.000    0.000 configparser.py:167(Error)
        1    0.000    0.000    0.000    0.000 configparser.py:180(NoSectionError)
        1    0.000    0.000    0.000    0.000 configparser.py:189(DuplicateSectionError)
        1    0.000    0.000    0.000    0.000 configparser.py:215(DuplicateOptionError)
        1    0.000    0.000    0.000    0.000 configparser.py:242(NoOptionError)
        1    0.000    0.000    0.000    0.000 configparser.py:253(InterpolationError)
        1    0.000    0.000    0.000    0.000 configparser.py:263(InterpolationMissingOptionError)
        1    0.000    0.000    0.000    0.000 configparser.py:275(InterpolationSyntaxError)
        1    0.000    0.000    0.000    0.000 configparser.py:283(InterpolationDepthError)
        1    0.000    0.000    0.000    0.000 configparser.py:296(ParsingError)
        1    0.000    0.000    0.000    0.000 configparser.py:339(MissingSectionHeaderError)
        1    0.000    0.000    0.000    0.000 configparser.py:359(Interpolation)
        1    0.000    0.000    0.000    0.000 configparser.py:375(BasicInterpolation)
        1    0.000    0.000    0.000    0.000 configparser.py:447(ExtendedInterpolation)
        1    0.000    0.000    0.000    0.000 configparser.py:521(LegacyInterpolation)
        1    0.000    0.000    0.002    0.002 configparser.py:559(RawConfigParser)
        1    0.000    0.000    0.000    0.000 connections.py:101(lenenc_int)
        1    0.000    0.000    0.000    0.000 connections.py:1051(MySQLResult)
    12000    0.012    0.000    0.012    0.000 connections.py:1053(__init__)
    11999    0.003    0.000    0.003    0.000 connections.py:1069(__del__)
    12000    0.027    0.000    1.944    0.000 connections.py:1073(read)
    12000    0.017    0.000    0.175    0.000 connections.py:1111(_read_ok_packet)
        1    0.000    0.000    0.000    0.000 connections.py:116(Connection)
